suite,task_id,condition,requested_axis,requested_level,source,source_displacement_m,destination_moved,destination_displacement_m,other_moved_objects,left_scene,change_class,clean,init_state_ok,error
libero_object,0,y0.1,y,0.1,alphabet_soup_1,0.07,False,,,,clean_source_only,True,True,
libero_object,0,y0.2,y,0.2,alphabet_soup_1,0.14,False,,,,clean_source_only,True,True,
libero_object,0,y0.3,y,0.3,alphabet_soup_1,0.21,False,,,,clean_source_only,True,True,
libero_object,1,y0.1,y,0.1,cream_cheese_1,0.0688,False,,,,clean_source_only,True,True,
libero_object,1,y0.2,y,0.2,cream_cheese_1,0.1389,False,,,,clean_source_only,True,True,
libero_object,1,y0.3,y,0.3,cream_cheese_1,0.2077,False,,,,clean_source_only,True,True,
libero_object,2,y0.1,y,0.1,salad_dressing_1,0.07,False,,,,clean_source_only,True,True,
libero_object,2,y0.2,y,0.2,salad_dressing_1,0.14,False,,,,clean_source_only,True,True,
libero_object,2,y0.3,y,0.3,salad_dressing_1,0.21,False,,,,clean_source_only,True,True,
libero_object,3,y0.1,y,0.1,bbq_sauce_1,0.0724,False,,,,clean_source_only,True,True,
libero_object,3,y0.2,y,0.2,bbq_sauce_1,0.1443,False,,,,clean_source_only,True,True,
libero_object,3,y0.3,y,0.3,bbq_sauce_1,0.216,False,,,,clean_source_only,True,True,
libero_object,4,y0.1,y,0.1,ketchup_1,0.07,False,,,,clean_source_only,True,True,
libero_object,4,y0.2,y,0.2,ketchup_1,0.14,False,,,,clean_source_only,True,True,
libero_object,4,y0.3,y,0.3,ketchup_1,0.21,False,,,,clean_source_only,True,True,
libero_object,5,y0.1,y,0.1,tomato_sauce_1,0.07,False,,,,clean_source_only,True,True,
libero_object,5,y0.2,y,0.2,tomato_sauce_1,0.14,False,,chocolate_pudding_1,chocolate_pudding_1,source_and_distractor,False,True,
libero_object,5,y0.3,y,0.3,tomato_sauce_1,0.21,False,,chocolate_pudding_1,chocolate_pudding_1,source_and_distractor,False,True,
libero_object,6,y0.1,y,0.1,butter_1,0.0627,False,,,,clean_source_only,True,True,
libero_object,6,y0.2,y,0.2,butter_1,0.1329,False,,,,clean_source_only,True,True,
libero_object,6,y0.3,y,0.3,butter_1,0.2074,False,,,,clean_source_only,True,True,
libero_object,7,y0.1,y,0.1,milk_1,0.0723,False,,,,clean_source_only,True,True,
libero_object,7,y0.2,y,0.2,milk_1,0.1376,False,,,,clean_source_only,True,True,
libero_object,7,y0.3,y,0.3,milk_1,0.2157,False,,,,clean_source_only,True,True,
libero_object,8,y0.1,y,0.1,chocolate_pudding_1,0.07,False,,,,clean_source_only,True,True,
libero_object,8,y0.2,y,0.2,chocolate_pudding_1,0.14,False,,,,clean_source_only,True,True,
libero_object,8,y0.3,y,0.3,chocolate_pudding_1,0.21,False,,,,clean_source_only,True,True,
libero_object,9,y0.1,y,0.1,orange_juice_1,0.07,False,,,,clean_source_only,True,True,
libero_object,9,y0.2,y,0.2,orange_juice_1,0.14,False,,,,clean_source_only,True,True,
libero_object,9,y0.3,y,0.3,orange_juice_1,0.21,False,,,,clean_source_only,True,True,
