name,kind,h_meter,h_cm,axis,sign,scene_valid,invalid_reason,vanilla_target_pose,requested_target_pose,actual_target_pose,actual_displacement,eef_t_xyz,eef_t_plus_1_xyz,R
vanilla,vanilla,,,,,True,,"[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.16622576245367948, 0.0023439461842467884, 0.2451397414142153]","[-0.16257574550985096, 0.00033118789920260743, 0.24736075110428854]",null
vanilla,vanilla,,,,,True,,"[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.16622576245367948, 0.0023439461842467884, 0.2451397414142153]","[-0.16257574550985096, 0.00033118789920260743, 0.24736075110428854]",null
vanilla,vanilla,,,,,True,,"[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.16622576245367948, 0.0023439461842467884, 0.2451397414142153]","[-0.16257574550985096, 0.00033118789920260743, 0.24736075110428854]",null
vanilla,vanilla,,,,,True,,"[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.16622576245367948, 0.0023439461842467884, 0.2451397414142153]","[-0.16257574550985096, 0.00033118789920260743, 0.24736075110428854]",null
vanilla,vanilla,,,,,True,,"[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.0, 0.0, 0.0]","[-0.16622576245367948, 0.0023439461842467884, 0.2451397414142153]","[-0.16257574550985096, 0.00033118789920260743, 0.24736075110428854]",null
h01cm_plusx,perturbation,0.01,1.0,x,1,True,,"[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.05312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.05312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.010000000000000002, 0.0, 0.0]","[-0.16622576245367948, 0.0023439461842467884, 0.2451397414142153]","[-0.16257574550985096, 0.00033118789920260743, 0.24736075110428854]","[0.0, 0.0, 0.0]"
h01cm_minusx,perturbation,0.01,1.0,x,-1,True,,"[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.033129572581759505, -0.09009850396987874, 0.034999999999999996]","[0.033129572581759505, -0.09009850396987874, 0.034999999999999996]","[-0.010000000000000002, 0.0, 0.0]","[-0.16622576245367948, 0.0023439461842467884, 0.2451397414142153]","[-0.16259316939732976, 0.00034932856019192766, 0.246538191798107]","[-1.7423887478801303e-05, 1.814066098932023e-05, -0.0008225593061815528]"
h01cm_plusy,perturbation,0.01,1.0,y,1,True,,"[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.04312957258175951, -0.08009850396987875, 0.034999999999999996]","[0.04312957258175951, -0.08009850396987875, 0.034999999999999996]","[0.0, 0.009999999999999995, 0.0]","[-0.16622576245367948, 0.0023439461842467884, 0.2451397414142153]","[-0.16259316939732976, 0.00034932856019192766, 0.246538191798107]","[-1.7423887478801303e-05, 1.814066098932023e-05, -0.0008225593061815528]"
h01cm_minusy,perturbation,0.01,1.0,y,-1,True,,"[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.04312957258175951, -0.10009850396987874, 0.034999999999999996]","[0.04312957258175951, -0.10009850396987874, 0.034999999999999996]","[0.0, -0.009999999999999995, 0.0]","[-0.16622576245367948, 0.0023439461842467884, 0.2451397414142153]","[-0.16257574550985096, 0.00033118789920260743, 0.24736075110428854]","[0.0, 0.0, 0.0]"
h02cm_plusx,perturbation,0.02,2.0,x,1,True,,"[0.04312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.06312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.06312957258175951, -0.09009850396987874, 0.034999999999999996]","[0.020000000000000004, 0.0, 0.0]","[-0.16622576245367948, 0.0023439461842467884, 0.2451397414142153]","[-0.16257574550985096, 0.00033118789920260743, 0.24736075110428854]","[0.0, 0.0, 0.0]"
