name,kind,h_meter,h_cm,axis,sign,scene_valid,invalid_reason,vanilla_target_pose,requested_target_pose,actual_target_pose,actual_displacement,eef_t_xyz,eef_t_plus_1_xyz,R
vanilla,vanilla,,,,,True,,"[0.13733616561092005, -0.07043152905820577, 0.97]","[0.13733616561092005, -0.07043152905820577, 0.97]","[0.13733616561092005, -0.07043152905820577, 0.97]","[0.0, 0.0, 0.0]","[-0.20624929452738186, -0.010933044121609616, 1.18146938948386]","[-0.20625385859081746, -0.009894367980974381, 1.1808289846222608]",null
vanilla,vanilla,,,,,True,,"[0.13733616561092005, -0.07043152905820577, 0.97]","[0.13733616561092005, -0.07043152905820577, 0.97]","[0.13733616561092005, -0.07043152905820577, 0.97]","[0.0, 0.0, 0.0]","[-0.20624929452738186, -0.010933044121609616, 1.18146938948386]","[-0.20625385859081746, -0.009894367980974381, 1.1808289846222608]",null
vanilla,vanilla,,,,,True,,"[0.13733616561092005, -0.07043152905820577, 0.97]","[0.13733616561092005, -0.07043152905820577, 0.97]","[0.13733616561092005, -0.07043152905820577, 0.97]","[0.0, 0.0, 0.0]","[-0.20624929452738186, -0.010933044121609616, 1.18146938948386]","[-0.20625385859081746, -0.009894367980974381, 1.1808289846222608]",null
vanilla,vanilla,,,,,True,,"[0.13733616561092005, -0.07043152905820577, 0.97]","[0.13733616561092005, -0.07043152905820577, 0.97]","[0.13733616561092005, -0.07043152905820577, 0.97]","[0.0, 0.0, 0.0]","[-0.20624929452738186, -0.010933044121609616, 1.18146938948386]","[-0.20625385859081746, -0.009894367980974381, 1.1808289846222608]",null
vanilla,vanilla,,,,,True,,"[0.13733616561092005, -0.07043152905820577, 0.97]","[0.13733616561092005, -0.07043152905820577, 0.97]","[0.13733616561092005, -0.07043152905820577, 0.97]","[0.0, 0.0, 0.0]","[-0.20624929452738186, -0.010933044121609616, 1.18146938948386]","[-0.20625385859081746, -0.009894367980974381, 1.1808289846222608]",null
h01cm_plusx,perturbation,0.01,1.0,x,1,True,,"[0.13733616561092005, -0.07043152905820577, 0.97]","[0.14733616561092006, -0.07043152905820577, 0.97]","[0.14733616561092006, -0.07043152905820577, 0.97]","[0.010000000000000009, 0.0, 0.0]","[-0.20624929452738186, -0.010933044121609616, 1.18146938948386]","[-0.20625385859081746, -0.009894367980974381, 1.1808289846222608]","[0.0, 0.0, 0.0]"
h01cm_minusx,perturbation,0.01,1.0,x,-1,True,,"[0.13733616561092005, -0.07043152905820577, 0.97]","[0.12733616561092004, -0.07043152905820577, 0.97]","[0.12733616561092004, -0.07043152905820577, 0.97]","[-0.010000000000000009, 0.0, 0.0]","[-0.20624929452738186, -0.010933044121609616, 1.18146938948386]","[-0.20634698277629446, -0.009894465301670097, 1.1807584379061347]","[-9.312418547699486e-05, -9.732069571576074e-08, -7.054671612616303e-05]"
h01cm_plusy,perturbation,0.01,1.0,y,1,True,,"[0.13733616561092005, -0.07043152905820577, 0.97]","[0.13733616561092005, -0.060431529058205764, 0.97]","[0.13733616561092005, -0.060431529058205764, 0.97]","[0.0, 0.010000000000000002, 0.0]","[-0.20624929452738186, -0.010933044121609616, 1.18146938948386]","[-0.20634698277629446, -0.009894465301670097, 1.1807584379061347]","[-9.312418547699486e-05, -9.732069571576074e-08, -7.054671612616303e-05]"
h01cm_minusy,perturbation,0.01,1.0,y,-1,True,,"[0.13733616561092005, -0.07043152905820577, 0.97]","[0.13733616561092005, -0.08043152905820576, 0.97]","[0.13733616561092005, -0.08043152905820576, 0.97]","[0.0, -0.009999999999999995, 0.0]","[-0.20624929452738186, -0.010933044121609616, 1.18146938948386]","[-0.20625385859081746, -0.009894367980974381, 1.1808289846222608]","[0.0, 0.0, 0.0]"
h02cm_plusx,perturbation,0.02,2.0,x,1,True,,"[0.13733616561092005, -0.07043152905820577, 0.97]","[0.15733616561092004, -0.07043152905820577, 0.97]","[0.15733616561092004, -0.07043152905820577, 0.97]","[0.01999999999999999, 0.0, 0.0]","[-0.20624929452738186, -0.010933044121609616, 1.18146938948386]","[-0.20634698277629446, -0.009894465301670097, 1.1807584379061347]","[-9.312418547699486e-05, -9.732069571576074e-08, -7.054671612616303e-05]"
